ID,Min,PPG,Tot Pts,birth_date,Player Name,team_code,team_join_date,Position,season,New In League,New In Team,time_in_league,max_minutes_in_position_past_season,max_minutes_by_signing_past_season,avg_ppg_position_team_high_minutes,points_last_season,avg_points_last_2_seasons,avg_points_last_3_seasons,minutes_last_season,avg_minutes_last_2_seasons,avg_minutes_last_3_seasons,minutes_last_season_same_team,avg_minutes_last_2_seasons_same_team,avg_minutes_last_3_seasons_same_team
15749,0,0.0,0,,Hart,90,,GK,2019-20,False,False,3,,1710.0,,3.6,3.35,2.2333333333333334,1710.0,1710.0,1140.0,1710.0,1710.0,1710.0
15749,0,0.0,0,,Hart,6,,GK,2020-21,False,True,4,1808.0,,3.95,0.0,1.8,2.2333333333333334,0.0,855.0,1140.0,,,
15749,0,0.0,0,,Hart,6,,GK,2021-22,False,False,5,,3420.0,,0.0,0.0,1.2,0.0,0.0,570.0,0.0,0.0,0.0
15885,180,4.0,8,,Federici,91,,GK,2016-17,False,False,0,,,,,,,,,,,,
15885,0,0.0,0,,Federici,91,,GK,2017-18,False,False,1,,,,4.0,4.0,4.0,180.0,180.0,180.0,180.0,180.0,180.0
15944,104,1.2,6,,Kightly,90,,MID,2016-17,False,False,0,,,,,,,,,,,,
15982,1764,2.4,51,,Marney,90,,MID,2016-17,False,False,0,,,,,,,,,,,,
15982,0,0.0,0,,Marney,90,,MID,2017-18,False,False,1,,,,2.4,2.4,2.4,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0
16045,54,0.3,1,,Watson,57,,MID,2016-17,False,False,0,,,,,,,,,,,,
16045,455,1.5,12,,Watson,57,,MID,2017-18,False,False,1,,,,0.3,0.3,0.3,54.0,54.0,54.0,54.0,54.0,54.0
17127,38,1.0,1,,Mertesacker,3,,DEF,2016-17,False,False,0,,,,,,,,,,,,
17127,364,2.7,16,,Mertesacker,3,,DEF,2017-18,False,False,1,,,,1.0,1.0,1.0,38.0,38.0,38.0,38.0,38.0,38.0
17336,2123,3.5,87,,Clichy,43,,DEF,2016-17,False,False,0,,,,,,,,,,,,
17339,2643,2.4,77,,Davis,20,,MID,2016-17,False,False,0,,,,,,,,,,,,
17339,1515,3.1,71,,Davis,20,,MID,2017-18,False,False,1,,,,2.4,2.4,2.4,2643.0,2643.0,2643.0,2643.0,2643.0,2643.0
17339,97,3.0,9,,Davis,20,,MID,2018-19,False,False,2,,2520.0,,3.1,2.75,2.75,1515.0,2079.0,2079.0,1515.0,2079.0,2079.0
